"","n_missing","mean_n_associations","percent_missing"
"Count_S12",26,5.73239436619718,26.8041237113402
"Count_S15",43,5.25925925925926,44.3298969072165
"Count_S21",30,4.70149253731343,30.9278350515464
"Count_S22",72,3.12,74.2268041237113
"Count_S23",58,4.1025641025641,59.7938144329897
"Count_S30",28,5.21739130434783,28.8659793814433
"Count_S34",35,3.53225806451613,36.0824742268041
"Count_S57",14,6.02409638554217,14.4329896907216
"Count_S64",38,4.77966101694915,39.1752577319588
"Count_S65",41,5.01785714285714,42.2680412371134
"Count_S67",63,4.08823529411765,64.9484536082474
"Count_S7",20,4.01298701298701,20.6185567010309
